bioclim_01,bioclim_02,bioclim_03,bioclim_04,bioclim_05,bioclim_06,bioclim_07,bioclim_08,bioclim_09,bioclim_10,bioclim_11,bioclim_12,bioclim_13,bioclim_14,bioclim_15,bioclim_16,bioclim_17,bioclim_18,bioclim_19,corine_frac_111,corine_frac_112,corine_frac_121,corine_frac_122,corine_frac_123,corine_frac_124,corine_frac_131,corine_frac_132,corine_frac_133,corine_frac_141,corine_frac_142,corine_frac_211,corine_frac_212,corine_frac_213,corine_frac_221,corine_frac_222,corine_frac_223,corine_frac_231,corine_frac_241,corine_frac_242,corine_frac_243,corine_frac_244,corine_frac_311,corine_frac_312,corine_frac_313,corine_frac_321,corine_frac_322,corine_frac_323,corine_frac_324,corine_frac_331,corine_frac_332,corine_frac_333,corine_frac_334,corine_frac_335,corine_frac_411,corine_frac_412,corine_frac_421,corine_frac_422,corine_frac_423,corine_frac_511,corine_frac_512,corine_frac_521,corine_frac_522,corine_frac_523,coords,name
9.5,7.7,37.0,46.050000000000004,21.200000000000003,0.5,20.700000000000003,4.9,14.100000000000001,15.600000000000001,3.9000000000000004,789.0,90.0,46.0,21.0,256.0,156.0,160.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31428296867039657,0.0,0.0,0.0,0.0,0.0,0.6857170313296034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.923051, 50.965895)",UKBMS_loc-0023
9.1,7.1000000000000005,35.0,46.63,20.6,0.5,20.1,4.5,10.8,15.4,3.6,844.0,95.0,52.0,20.0,271.0,168.0,174.0,254.0,0.0,0.12116672679153885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717687153513489,0.0,0.0,0.0,0.0,0.0,0.40706455785711226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.476851, 50.812074)",UKBMS_loc-0025
9.700000000000001,6.9,33.0,47.72,20.700000000000003,0.4,20.3,4.6000000000000005,6.1000000000000005,15.8,3.6,634.0,64.0,41.0,13.0,181.0,134.0,162.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012277844496712518,0.015667746418111844,0.0,0.0,0.0,0.0,0.0,0.08833804841286078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02600121684030667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48868460410821396,0.0,0.3690305397237942,0.0,0.0,0.0,0.0,0.0,"(0.202943, 53.417963)",UKBMS_loc-0026
8.8,7.0,35.0,46.01,19.5,0.0,19.5,6.300000000000001,10.9,14.8,3.0,1070.0,117.0,62.0,22.0,342.0,199.0,245.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6422750273116946,0.0,0.0,0.0,0.0,0.008020312299439775,0.0,0.3489878002578803,0.0,0.0,0.0,0.0,0.0,0.0,0.0007168601309852236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.838733, 54.289205)",UKBMS_loc-0027
9.8,6.0,33.0,43.46,19.8,1.7000000000000002,18.1,5.4,11.4,15.5,4.5,1066.0,126.0,63.0,25.0,363.0,192.0,205.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49189503144963714,0.0,0.0,0.0,0.0,0.0,0.36596855211234636,0.0,0.0,0.0,0.0,0.14213641643801653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-3.894596, 50.770679)",UKBMS_loc-0028
9.8,7.5,34.0,49.51,21.5,0.0,21.5,13.8,6.1000000000000005,16.1,3.5,552.0,52.0,32.0,11.0,150.0,117.0,148.0,125.0,0.0,0.03717474469224369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008438219716274543,0.8049890006386725,0.0,0.0,0.0,0.0,0.0,0.15699243269745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.060327, 52.253726)",UKBMS_loc-0029
9.600000000000001,8.1,36.0,49.01,21.900000000000002,0.0,21.900000000000002,6.800000000000001,5.9,16.0,3.5,692.0,68.0,43.0,13.0,201.0,150.0,161.0,175.0,0.0,0.0041822599476191965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7062955413208797,0.021161212962670786,0.0,0.0,0.0,0.0,0.0,0.25638496734088545,0.0,0.0,0.0,0.0,0.01197601842794484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.30346, 51.250368)",UKBMS_loc-0030
9.4,7.5,34.0,49.58,21.400000000000002,-0.30000000000000004,21.700000000000003,6.7,5.7,15.8,3.1,692.0,69.0,42.0,13.0,197.0,146.0,169.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1688668355518833,0.0,0.0,0.0,0.0,0.0,0.38677244661293103,0.0,0.0,0.18500801551040746,0.0,0.25935270232477825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-0.953204, 51.662614)",UKBMS_loc-0031
9.9,7.6000000000000005,36.0,47.76,21.5,0.4,21.1,4.800000000000001,14.700000000000001,16.1,3.9000000000000004,791.0,87.0,49.0,20.0,255.0,159.0,163.0,227.0,0.0,0.23484656630614423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05466147288948704,0.3554621152048822,0.0,0.0,0.0,0.0,0.0,0.3550298455994865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-1.165943, 51.09783)",UKBMS_loc-0032
9.700000000000001,7.7,38.0,44.9,21.1,0.9,20.200000000000003,5.2,14.0,15.600000000000001,4.3,796.0,91.0,47.0,21.0,260.0,157.0,160.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22483043281429144,0.7751695671857085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(-2.051066, 50.831023)",UKBMS_loc-0033
