,tuple_coords,Melanargia galathea,Pieris napi,Aphantopus hyperantus,Aglais io,Polyommatus icarus,Vanessa atalanta,Lycaena phlaeas,Pararge aegeria,Gonepteryx rhamni,Thymelicus lineola,Pieris rapae,Coenonympha pamphilus,Aricia agestis,Polygonia c-album,Maniola jurtina,Aglais urticae,Vanessa cardui,Thymelicus sylvestris,Pyronia tithonus,Pieris brassicae,Lysandra coridon,Celastrina argiolus,Speyeria aglaja,Ochlodes venata,Plebejus argus,Lasiommata megera,Anthocharis cardamines,Argynnis paphia,Callophrys rubi,Ladoga camilla,Leptidea sinapis,Boloria selene,Satyrium w-album,Erynnis tages,Mellicta athalia,Pyrgus malvae,Euphydryas aurinia,Lysandra bellargus,Quercusia quercus,Colias croceus,Hesperia comma,Cupido minimus,Hipparchia semele,Clossiana euphrosyne,Thymelicus acteon,Hamearis lucina,Aricia artaxerxes,Papilio machaon,Fabriciana adippe,Fixsenia pruni,Thecla betulae,Erebia aethiops,Apatura iris,Coenonympha tullia,Tyria jacobaeae,Euclidia glyphica,Odezia atrata,Melitaea cinxia,Carterocephalus palaemon,Nymphalis polychloros,Nymphalis antiopa,Erebia epiphron,n_visits,name_loc
201,"(-2.942813, 51.39374)",0.17307692307692307,0.19230769230769232,0.19230769230769232,0.3076923076923077,0.6923076923076923,0.5192307692307693,0.36538461538461536,0.9615384615384616,0.23076923076923078,0.0,0.8846153846153846,0.0,0.09615384615384616,0.4807692307692308,0.5576923076923077,0.46153846153846156,0.40384615384615385,0.21153846153846154,0.38461538461538464,0.7884615384615384,0.0,0.23076923076923078,0.0,0.2692307692307692,0.0,0.019230769230769232,0.23076923076923078,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1346153846153846,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,UKBMS_loc-0360
202,"(-2.940051, 51.258882)",0.2857142857142857,0.2,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.08571428571428572,0.8,0.02857142857142857,0.0,0.8,0.4857142857142857,0.22857142857142856,0.37142857142857144,0.6857142857142857,0.22857142857142856,0.3142857142857143,0.22857142857142856,0.37142857142857144,0.8571428571428571,0.0,0.17142857142857143,0.0,0.2857142857142857,0.0,0.3142857142857143,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,UKBMS_loc-0496
203,"(-2.935132, 51.01613)",0.25925925925925924,0.7407407407407407,0.25925925925925924,0.4444444444444444,0.5185185185185185,0.5925925925925926,0.4074074074074074,0.9259259259259259,0.5185185185185185,0.07407407407407407,0.2962962962962963,0.0,0.25925925925925924,0.37037037037037035,0.4444444444444444,0.5555555555555556,0.2962962962962963,0.14814814814814814,0.2962962962962963,0.7037037037037037,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,UKBMS_loc-0163
204,"(-2.931533, 50.836307)",0.20408163265306123,0.4897959183673469,0.2857142857142857,0.3673469387755102,0.6530612244897959,0.3469387755102041,0.08163265306122448,0.8163265306122449,0.10204081632653061,0.0,0.5510204081632653,0.0,0.02040816326530612,0.3469387755102041,0.4897959183673469,0.02040816326530612,0.08163265306122448,0.22448979591836735,0.3673469387755102,0.32653061224489793,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.24489795918367346,0.2857142857142857,0.061224489795918366,0.0,0.0,0.0,0.0,0.10204081632653061,0.0,0.0,0.0,0.0,0.0,0.02040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49,UKBMS_loc-0489
205,"(-2.918394, 50.890367)",0.0,0.6829268292682927,0.21951219512195122,0.43902439024390244,0.0,0.36585365853658536,0.0,0.8780487804878049,0.34146341463414637,0.0,0.21951219512195122,0.0,0.0,0.2682926829268293,0.3902439024390244,0.0,0.0,0.0,0.17073170731707318,0.5121951219512195,0.0,0.5121951219512195,0.0,0.0975609756097561,0.0,0.0,0.24390243902439024,0.3170731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,UKBMS_loc-0809
206,"(-2.913941, 54.216757)",0.0,0.8076923076923077,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.11538461538461539,0.8461538461538461,0.4230769230769231,0.0,0.15384615384615385,0.6538461538461539,0.0,0.15384615384615385,0.5,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.2692307692307692,0.15384615384615385,0.0,0.19230769230769232,0.38461538461538464,0.3076923076923077,0.0,0.11538461538461539,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.07692307692307693,0.0,0.3076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.0,0.0,0.0,0.19230769230769232,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,UKBMS_loc-1167
207,"(-2.909993, 54.037031)",0.0,0.5,0.16666666666666666,0.6,0.7333333333333333,0.23333333333333334,0.2,1.0,0.4,0.0,0.5,0.03333333333333333,0.0,0.3333333333333333,0.5666666666666667,0.03333333333333333,0.23333333333333334,0.26666666666666666,0.36666666666666664,0.43333333333333335,0.0,0.06666666666666667,0.0,0.3333333333333333,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,UKBMS_loc-1065
208,"(-2.907535, 53.219092)",0.0,0.37037037037037035,0.25925925925925924,0.5555555555555556,0.2962962962962963,0.5185185185185185,0.2222222222222222,0.8518518518518519,0.037037037037037035,0.0,0.5925925925925926,0.0,0.0,0.2962962962962963,0.4444444444444444,0.7037037037037037,0.3333333333333333,0.037037037037037035,0.25925925925925924,0.25925925925925924,0.0,0.07407407407407407,0.0,0.2962962962962963,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,UKBMS_loc-1457
209,"(-2.902703, 56.481323)",0.0,0.5853658536585366,0.2682926829268293,0.21951219512195122,0.07317073170731707,0.24390243902439024,0.21951219512195122,0.0,0.0,0.0,0.6829268292682927,0.0,0.0,0.04878048780487805,0.2926829268292683,0.5609756097560976,0.21951219512195122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34146341463414637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,UKBMS_loc-1854
210,"(-2.900565, 54.306734)",0.0,0.23333333333333334,0.16666666666666666,0.13333333333333333,0.23333333333333334,0.0,0.3333333333333333,0.06666666666666667,0.0,0.0,0.23333333333333334,0.43333333333333335,0.0,0.0,0.4666666666666667,0.06666666666666667,0.16666666666666666,0.23333333333333334,0.1,0.16666666666666666,0.0,0.0,0.26666666666666666,0.0,0.0,0.03333333333333333,0.23333333333333334,0.0,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,UKBMS_loc-0877
